date,home,away,home_score,away_score,venue,prob_home,prediction,confidence,pair_games,predicted_historical_rate,home_season_rate,away_season_rate,form_agreement,high_confidence,hit,split
2025-04-12,日本ハム,西武,1,2,エスコンF,0.571628818204974,1,0.571628818204974,27,0.6296296296296297,0.6666666666666666,0.3,True,False,False,2025_rule_selection
2025-04-12,楽天,オリックス,2,4,楽天モバイル,0.5458075659993069,0,0.4541924340006931,28,0.6071428571428572,0.36363636363636365,0.7272727272727273,True,False,True,2025_rule_selection
2025-04-12,阪神,中日,2,3,甲子園球場,0.5540322642219442,0,0.4459677357780558,23,0.30434782608695654,0.5454545454545454,0.4,False,False,True,2025_rule_selection
2025-04-13,広島,巨人,5,3,マツダスタジアム,0.5570895893808465,1,0.5570895893808465,24,0.4583333333333333,0.5833333333333334,0.45454545454545453,True,False,True,2025_rule_selection
2025-04-13,日本ハム,西武,2,7,エスコンF,0.5817797186471593,1,0.5817797186471593,28,0.6071428571428571,0.6153846153846154,0.36363636363636365,True,False,False,2025_rule_selection
2025-04-13,楽天,オリックス,1,6,楽天モバイル,0.5496345133294276,0,0.4503654866705724,29,0.6206896551724138,0.3333333333333333,0.75,True,False,True,2025_rule_selection
2025-04-15,オリックス,西武,2,0,京セラドーム大阪,0.564480764952306,1,0.564480764952306,25,0.48,0.7692307692307693,0.4166666666666667,True,False,True,2025_rule_selection
2025-04-15,ソフトバンク,楽天,1,2,PayPayドーム,0.5751879930975436,1,0.5751879930975436,25,0.64,0.5,0.3076923076923077,True,False,False,2025_rule_selection
2025-04-15,ヤクルト,阪神,1,5,松山,0.537490790219604,0,0.462509209780396,26,0.5384615384615384,0.5,0.5,True,False,True,2025_rule_selection
2025-04-15,ロッテ,日本ハム,3,9,ZOZOマリンスタジアム,0.5467669532746827,0,0.4532330467253173,24,0.75,0.4166666666666667,0.5714285714285714,True,False,True,2025_rule_selection
2025-04-15,巨人,DeNA,1,0,東京ドーム,0.5384601636184649,0,0.46153983638153506,25,0.31999999999999995,0.4166666666666667,0.5,True,False,False,2025_rule_selection
2025-04-15,広島,中日,7,1,マツダスタジアム,0.5697589016779048,1,0.5697589016779048,26,0.34615384615384615,0.6153846153846154,0.45454545454545453,True,False,True,2025_rule_selection
2025-04-16,オリックス,西武,0,5,京セラドーム大阪,0.5632565205671989,1,0.5632565205671989,26,0.5,0.7857142857142857,0.38461538461538464,True,False,False,2025_rule_selection
2025-04-16,ソフトバンク,楽天,2,6,PayPayドーム,0.5714976279028985,1,0.5714976279028985,26,0.6153846153846154,0.46153846153846156,0.35714285714285715,True,False,False,2025_rule_selection
2025-04-16,ロッテ,日本ハム,4,0,ZOZOマリンスタジアム,0.5521447970109805,0,0.4478552029890195,25,0.76,0.38461538461538464,0.6,True,False,False,2025_rule_selection
2025-04-16,巨人,DeNA,5,0,東京ドーム,0.533911806414193,0,0.466088193585807,26,0.3076923076923077,0.46153846153846156,0.45454545454545453,False,False,False,2025_rule_selection
2025-04-16,広島,中日,0,2,マツダスタジアム,0.576108757276318,1,0.576108757276318,27,0.37037037037037035,0.6428571428571429,0.4166666666666667,True,False,False,2025_rule_selection
2025-04-17,オリックス,西武,2,3,京セラドーム大阪,0.5645306971154332,1,0.5645306971154332,27,0.48148148148148145,0.7333333333333333,0.42857142857142855,True,False,False,2025_rule_selection
2025-04-17,ソフトバンク,楽天,3,4,PayPayドーム,0.5642192977753528,1,0.5642192977753528,27,0.5925925925925926,0.42857142857142855,0.4,True,False,False,2025_rule_selection
2025-04-17,ヤクルト,阪神,5,7,神宮野球場,0.5486047032246415,0,0.4513952967753585,27,0.5555555555555556,0.45454545454545453,0.5384615384615384,True,False,True,2025_rule_selection
2025-04-17,巨人,DeNA,1,9,東京ドーム,0.5317847496304742,0,0.4682152503695258,27,0.2962962962962963,0.5,0.4166666666666667,False,False,True,2025_rule_selection
2025-04-18,オリックス,日本ハム,2,1,京セラドーム大阪,0.5446924768044062,0,0.45530752319559376,27,0.4444444444444444,0.6875,0.5625,False,False,False,2025_rule_selection
2025-04-18,楽天,ロッテ,1,4,楽天モバイル,0.5347519618723842,0,0.46524803812761584,26,0.5384615384615384,0.4375,0.42857142857142855,False,False,True,2025_rule_selection
2025-04-18,西武,ソフトバンク,2,1,メットライフドーム,0.5307359775766146,0,0.4692640224233854,28,0.6428571428571428,0.4666666666666667,0.4,False,False,False,2025_rule_selection
2025-04-19,オリックス,日本ハム,4,7,京セラドーム大阪,0.544967676693409,0,0.45503232330659105,28,0.4285714285714286,0.7058823529411765,0.5294117647058824,False,False,True,2025_rule_selection
2025-04-19,ヤクルト,巨人,4,6,神宮野球場,0.5336453915794642,0,0.4663546084205358,28,0.5714285714285714,0.4166666666666667,0.4666666666666667,True,False,True,2025_rule_selection
2025-04-19,中日,DeNA,3,2,ナゴヤドーム,0.5280415456221882,0,0.4719584543778118,25,0.64,0.46153846153846156,0.46153846153846156,True,False,False,2025_rule_selection
2025-04-19,楽天,ロッテ,2,1,楽天モバイル,0.5433647655984346,0,0.4566352344015654,27,0.5555555555555556,0.4117647058823529,0.4666666666666667,True,False,False,2025_rule_selection
2025-04-19,西武,ソフトバンク,1,0,メットライフドーム,0.5301712053082945,0,0.46982879469170546,29,0.6206896551724138,0.5,0.375,False,False,False,2025_rule_selection
2025-04-19,阪神,広島,0,3,甲子園球場,0.547512024441038,0,0.45248797555896203,27,0.4814814814814815,0.5714285714285714,0.6,True,False,True,2025_rule_selection
2025-04-20,オリックス,日本ハム,0,2,京セラドーム大阪,0.5479137067628839,0,0.45208629323711613,29,0.4482758620689655,0.6666666666666666,0.5555555555555556,False,False,True,2025_rule_selection
2025-04-20,ヤクルト,巨人,3,2,神宮野球場,0.5403026159399974,0,0.4596973840600026,29,0.5862068965517242,0.38461538461538464,0.5,True,False,False,2025_rule_selection
2025-04-20,中日,DeNA,2,0,ナゴヤドーム,0.52854790916848,0,0.47145209083151995,26,0.6153846153846154,0.5,0.42857142857142855,False,False,False,2025_rule_selection
